  151728,     1037,   124025,      825,   124706,      844,   119127,      587,   115598,      587,   126515,      629,   133805,      630,   128750,      497,   130329,      567,   143668,      514,   149107,      567,   165080,      331
     495,      265,      447,      261,      459,      245,      420,      251,      441,      264,      431,      265,      380,      260,      371,      258,      426,      252,      481,      257,      497,      268,      549,      259
  103320,      827,   114376,      711,   121326,      741,   101806,      573,   120319,      541,   118863,      677,   115520,      597,    99695,      526,   104706,      487,   148153,      442,   147605,      517,   159790,      357
     406,      253,      407,      256,      395,      246,      402,      240,      386,      259,      486,      260,      375,      260,      390,      254,      404,      260,      462,      260,      464,      272,      485,      262
   92662,      861,   110119,      761,   126089,      742,   101455,      532,   100416,      542,   107488,      602,   113246,      589,   110024,      540,   125895,      532,   128662,      493,   136402,      518,   140541,      298
     403,      251,      411,      249,      389,      245,      398,      249,      395,      239,      382,      256,      386,      250,      394,      258,      406,      261,      453,      253,      462,      260,      426,      257
  106074,      962,   119426,      753,   111332,      716,    99916,      566,   127592,      548,   140284,      614,   120012,      625,   117468,      593,   126862,      470,   101039,      461,   112795,      429,   111798,      294
     388,      249,      392,      248,      365,      252,      356,      242,      342,      252,      375,      251,      396,      247,      378,      257,      383,      251,      358,      246,      353,      263,      408,      250
   92467,      861,    88860,      573,    85229,      653,    91096,      576,    94362,      507,   115318,      566,   107781,      577,   103002,      521,   114815,      441,    96169,      415,    96464,      471,   116756,      283
     401,      246,      371,      244,      394,      255,      350,      242,      327,      239,      342,      259,      369,      246,      393,      254,      455,      259,      378,      301,      405,      262,      433,      242
   92875,      903,   113668,      919,   144366,      542,    58093,      513,    87742,      471,    91239,      568,   115813,      680,   121869,      581,   146788,      514,   105885,      479,   102052,      482,   109571,      271
     329,      244,      331,      249,      346,      237,      323,      249,      323,      251,      345,      249,      383,      252,      426,      249,      384,      250,      302,      239,      292,      252,      302,      245
   35985,      456,    36792,      431,    42255,      474,    58693,      436,    63067,      435,    73827,      556,    96402,      644,   120893,      491,    93277,      294,     7342,      249,     6478,      269,     6582,      242
     364,      254,      356,      242,      379,      243,      336,      251,      322,      242,      341,      254,      387,      257,      405,      256,      414,      247,      260,      241,      257,      247,      261,      321
   89039,      860,   103260,      826,   123303,      555,    57889,      433,    59674,      417,    57812,      536,    97759,      612,   117120,      518,   111035,      281,     6433,      262,     6251,      244,     6384,      234
     295,      239,      293,      243,      307,      239,      273,      246,      262,      246,      286,      242,      296,      244,      286,      251,      291,      238,      248,      241,      238,      239,      254,      227

